price,num_bedrooms,num_bathrooms,num_toilet,location,property_type
9000000,3,3,3,ikoyi lagos,3 BEDROOM FLAT 
15000000,4,4,4,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
20000000,2,2,2,. ikoyi,2 BEDROOM PENTHOUSE FLAT 
12000000,4,4,4,. old,4 BEDROOM FLAT 
1300000,3,3,4,amuwo odofin,3 BEDROOM FLAT 
12000000,4,4,5,old ikoyi,4 BEDROOM MASSIONETTE HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
3500000,4,4,5,chevron lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI LAGOS
3500000,4,4,5,chevron lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI CHEVRON LEKKI LAGOS
4500000,5,5,6,chevy view,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT CHEVY VIEW ESTATE LEKKI CHEVRON LEKKI LAGOS
13000000,3,3,4,banana island,3 BEDROOM FLAT 
5000000,4,4,5,lekki phase,4 BEDROOM FLAT 
3500000,4,4,4,phase 2,4 BEDROOM HOUSE FOR RENT PHASE 2 GBAGADA LAGOS
1200000,2,2,3,ogudu orike,2 BEDROOM SELF CONTAIN FLAT 
450000,1,1,1,ogudu ogudu,1 BEDROOM MINI FLAT SELF CONTAIN FLAT 
12000000,4,4,4,old ikoyi,4 BEDROOM FLAT 
4000000,3,3,4,lekki phase,3 BEDROOM FLAT 
3300000,4,4,5,chevy view,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVY VIEW ESTATE LEKKI CHEVRON LEKKI LAGOS
3500000,4,4,5,chevron lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI CHEVRON LEKKI LAGOS
4000000,4,4,5,ikota lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT IKOTA LEKKI IKOTA LEKKI LAGOS
3000000,4,4,5,agungi lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT AGUNGI LEKKI AGUNGI LEKKI LAGOS
1000000,2,2,3,ifako gbagada,2 BEDROOM FLAT 
18000000,4,4,4,victoria island,4 BEDROOM FLAT 
16000000,3,3,3,victoria island,3 BEDROOM FLAT 
